trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-77.06194965616245,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-91.79042245570228,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-227.03362915737105,"{0: 13, 1: 8, 2: 4, 3: 2, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,9,-51.53547298132199,"{0: 6, 1: 2, 2: 1, 3: 2, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-93.78700133837276,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,6,-25.11153011778629,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,4,-147.3667565384265,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 3}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,7,-108.39508329359617,"{0: 5, 1: 1, 2: 5, 3: 1, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,3,-84.45201567602496,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 2}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,3,-73.13289327344168,"{0: 14, 1: 2, 2: 4, 3: 2, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,18,0.2227300640637433,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-36.45300516840024,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,15,-13.000631955230677,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,9,-25.070995516216495,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,8,15.137129195738869,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,1,-1.6597972715645044,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-8.109282316647388,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,10,-28.788561472720566,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,26.727509998854686,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,13,23.941371720264552,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,20,7.256925670852867,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",30,9,10.526290983811482,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,16,18.866327308925882,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,2,6.087186079023306,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,8,20.573850594012967,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,11,21.925599284780112,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,1,5.9763999946161395,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,6,20.518514930511415,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",30,19,16.54294953168099,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,2,-30.813221719435937,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 1}",1
