trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.9999500004166653}",25,0,-197.15367567023281,"{0: 12, 1: 2, 2: 8, 3: 0, 4: 3}",0
2,False,"{'a': 0.1, 'e': 0.9998000066665778}",30,0,-36.379224753116624,"{0: 23, 1: 2, 2: 5, 3: 0, 4: 0}",0
3,False,"{'a': 0.1, 'e': 0.9995500337489875}",25,0,-130.81221786433397,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.1, 'e': 0.9992001066609779}",20,0,-110.92235956468585,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.1, 'e': 0.9987502603949663}",35,0,-185.77516346375205,"{0: 18, 1: 8, 2: 6, 3: 1, 4: 2}",0
6,False,"{'a': 0.1, 'e': 0.9982005399352042}",20,0,-36.72097874202943,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
7,False,"{'a': 0.1, 'e': 0.9975510002532796}",25,0,-147.9331347007963,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
8,False,"{'a': 0.1, 'e': 0.9968017063026194}",25,0,-170.72273751825531,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
9,False,"{'a': 0.1, 'e': 0.9959527330119943}",20,0,-131.4191745223286,"{0: 12, 1: 3, 2: 1, 3: 2, 4: 2}",0
10,False,"{'a': 0.1, 'e': 0.9950041652780258}",20,0,-83.45799678223807,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
11,False,"{'a': 0.1, 'e': 0.9939560979566968}",25,0,-228.19472341255624,"{0: 10, 1: 5, 2: 4, 3: 3, 4: 3}",0
12,False,"{'a': 0.1, 'e': 0.9928086358538663}",25,0,-103.3681438284676,"{0: 15, 1: 6, 2: 1, 3: 2, 4: 1}",0
13,False,"{'a': 0.1, 'e': 0.9915618937147881}",30,0,-188.88272478304788,"{0: 17, 1: 1, 2: 8, 3: 2, 4: 2}",0
14,False,"{'a': 0.1, 'e': 0.9902159962126371}",20,0,-153.653355080996,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
15,False,"{'a': 0.1, 'e': 0.9887710779360422}",25,14,-31.54904434479376,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 0}",1
16,False,"{'a': 0.1, 'e': 0.9872272833756269}",20,0,-84.24384123701651,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.1, 'e': 0.9855847669095608}",20,0,-119.59861814496892,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
18,False,"{'a': 0.1, 'e': 0.9838436927881214}",30,5,-154.4298902045202,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",1
19,False,"{'a': 0.1, 'e': 0.9820042351172703}",20,0,-96.46610520781674,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.1, 'e': 0.9800665778412416}",30,12,-21.79967902998382,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 0}",1
21,False,"{'a': 0.1, 'e': 0.9780309147241483}",20,0,-121.32307333741137,"{0: 8, 1: 6, 2: 4, 3: 1, 4: 1}",0
22,False,"{'a': 0.1, 'e': 0.9758974493306055}",20,9,-37.61819388916152,"{0: 6, 1: 1, 2: 4, 3: 0, 4: 0}",1
23,False,"{'a': 0.1, 'e': 0.9736663950053749}",20,0,-97.86945795755896,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 0}",0
24,False,"{'a': 0.1, 'e': 0.9713379748520297}",20,0,-139.75289754897912,"{0: 10, 1: 2, 2: 4, 3: 3, 4: 1}",0
25,False,"{'a': 0.1, 'e': 0.9689124217106447}",35,0,-270.6043971343804,"{0: 17, 1: 6, 2: 6, 3: 2, 4: 4}",0
26,False,"{'a': 0.1, 'e': 0.9663899781345132}",20,0,-57.34896210810851,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
27,False,"{'a': 0.1, 'e': 0.9637708963658905}",30,0,-128.1527255448558,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
28,False,"{'a': 0.1, 'e': 0.9610554383107709}",20,0,-84.07819358782396,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
29,False,"{'a': 0.1, 'e': 0.9582438755126972}",30,0,-104.67086823214736,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
