trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-132.3008003891661,"{0: 15, 1: 3, 2: 3, 3: 3, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-69.85194419122865,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-192.37237476858405,"{0: 10, 1: 5, 2: 6, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-137.54644791785927,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-177.14981926942883,"{0: 7, 1: 4, 2: 6, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-200.2925109555633,"{0: 20, 1: 0, 2: 6, 3: 0, 4: 4}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.35249976085666,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,15,-12.241403886531561,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.71504629087583,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-120.49801802043264,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-81.83489015964327,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-142.21018949567863,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,17,2.909981322085771,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.58793978741922,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-28.87787369042983,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-368.75240657951286,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 8}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-72.27972139019661,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-152.9686706199754,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-191.88581175883115,"{0: 17, 1: 4, 2: 5, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-49.47953788199053,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-53.67430650337154,"{0: 17, 1: 6, 2: 0, 3: 2, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-49.035741660258374,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,7,-148.34238516661117,"{0: 7, 1: 3, 2: 5, 3: 1, 4: 2}",1
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-111.47027004096637,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-218.47751846501734,"{0: 10, 1: 0, 2: 3, 3: 4, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",35,4,-186.11380118805627,"{0: 17, 1: 4, 2: 5, 3: 3, 4: 2}",1
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-68.28032529915303,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-97.86152381764869,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-59.33277706260582,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,14,-87.46609110590752,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 2}",1
